mod,nAg,rRep,rOr,rAt,CCO,isolated,avgA2A
M,12,0.01,0.12,0.15,12,0,0.069970297923408
M,12,0.01,0.12,0.15,12,0,0.0766267861979
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.027573616465875
M,12,0.01,0.12,0.15,10,0,0.116229071611836
M,12,0.01,0.12,0.15,12,0,0.062663310085647
M,12,0.01,0.12,0.15,12,0,0.041140723937327
M,12,0.01,0.12,0.15,12,0,0.023981429280024
M,12,0.01,0.12,0.15,12,0,0.029040510841827
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.024855807146876
M,12,0.01,0.12,0.15,12,0,0.04932481485567
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.035312100847208
M,12,0.01,0.12,0.15,12,0,0.063547043477723
M,12,0.01,0.12,0.15,12,0,0.045356970818717
M,12,0.01,0.12,0.15,12,0,0.061096502247595
M,12,0.01,0.12,0.15,7,0,0.035069767766851
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.090095771803437
M,12,0.01,0.12,0.15,10,0,0.012108169737244
M,12,0.01,0.12,0.15,8,0,0.308943389284873
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.133503877495486
M,12,0.01,0.12,0.15,8,0,0.129485783187811
M,12,0.01,0.12,0.15,12,0,0.028766328193611
M,12,0.01,0.12,0.15,12,0,0.03559349252085
M,12,0.01,0.12,0.15,12,0,0.033406577800719
M,12,0.01,0.12,0.15,12,0,0.049357486071557
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.114916980625053
M,12,0.01,0.12,0.15,12,0,0.054964359382348
M,12,0.01,0.12,0.15,12,0,0.04196422072009
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.057054615643722
M,12,0.01,0.12,0.15,12,0,0.018338550633302
M,12,0.01,0.12,0.15,4,0.166666666666667,0.266586655645899
M,12,0.01,0.12,0.15,8,0,0.346894192563569
M,12,0.01,0.12,0.15,10,0.166666666666667,0.078772815575369
M,12,0.01,0.12,0.15,12,0,0.063860074134151
M,12,0.01,0.12,0.15,7,0,0.155302762347652
M,12,0.01,0.12,0.15,7,0,0.077707114298852
M,12,0.01,0.12,0.15,12,0,0.058302519182099
M,12,0.01,0.12,0.15,12,0,0.043150052341223
M,12,0.01,0.12,0.15,12,0,0.034852207892161
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.125541079491872
M,12,0.01,0.12,0.15,12,0,0.066452237440149
M,12,0.01,0.12,0.15,12,0,0.049124347322405
M,12,0.01,0.12,0.15,10,0,0.055609275412398
M,12,0.01,0.12,0.15,8,0,0.266424219160941
M,12,0.01,0.12,0.15,7,0,0.285430963797318
M,12,0.01,0.12,0.15,5,0,0.199062721725494
M,12,0.01,0.12,0.15,12,0,0.020778698482072
M,12,0.01,0.12,0.15,12,0,0.031823772966009
M,12,0.01,0.12,0.15,9,0,0.096885594759139
M,12,0.01,0.12,0.15,12,0,0.039034928958944
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.116636000631052
M,12,0.01,0.12,0.15,12,0,0.050952318116085
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.050838577432479
M,12,0.01,0.12,0.15,7,0.166666666666667,0.15099485808546
M,12,0.01,0.12,0.15,5,0.0833333333333333,0.286722812839849
M,12,0.01,0.12,0.15,7,0,0.310983068141211
M,12,0.01,0.12,0.15,9,0.0833333333333333,0.028372805913016
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.039128770738919
M,12,0.01,0.12,0.15,7,0.0833333333333333,0.314035511037853
M,12,0.01,0.12,0.15,12,0,0.041432745849734
M,12,0.01,0.12,0.15,4,0,0.268526802003679
M,12,0.01,0.12,0.15,12,0,0.074514652668997
M,12,0.01,0.12,0.15,12,0,0.039666931308812
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.038281297070777
M,12,0.01,0.12,0.15,7,0.0833333333333333,0.301655765436335
M,12,0.01,0.12,0.15,12,0,0.026552635024493
M,12,0.01,0.12,0.15,6,0,0.392685001758078
M,12,0.01,0.12,0.15,6,0,0.271030467092524
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.037084919918733
M,12,0.01,0.12,0.15,5,0.166666666666667,0.341394269449384
M,12,0.01,0.12,0.15,12,0,0.051621389425314
M,12,0.01,0.12,0.15,12,0,0.031903778617031
M,12,0.01,0.12,0.15,8,0.0833333333333333,0.087424203685228
M,12,0.01,0.12,0.15,6,0,0.3004040948918
M,12,0.01,0.12,0.15,12,0,0.016372160297273
M,12,0.01,0.12,0.15,12,0,0.03798546730999
M,12,0.01,0.12,0.15,7,0,0.26410030006954
M,12,0.01,0.12,0.15,9,0,0.04331303770056
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.074491710151328
M,12,0.01,0.12,0.15,12,0,0.04275366930856
M,12,0.01,0.12,0.15,12,0,0.035355010520435
M,12,0.01,0.12,0.15,7,0,0.298460150006721
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.033588156410456
M,12,0.01,0.12,0.15,7,0,0.324191991353187
M,12,0.01,0.12,0.15,12,0,0.024994301193449
M,12,0.01,0.12,0.15,10,0.166666666666667,0.045981021765811
M,12,0.01,0.12,0.15,12,0,0.020830369942182
M,12,0.01,0.12,0.15,12,0,0.050249726439928
M,12,0.01,0.12,0.15,7,0.25,0.327989202090629
M,12,0.01,0.12,0.15,12,0,0.051273220014815
M,12,0.01,0.12,0.15,12,0,0.072809282010991
M,12,0.01,0.12,0.15,12,0,0.053376077712895
M,12,0.01,0.12,0.15,7,0.0833333333333333,0.159460600092578
M,12,0.01,0.12,0.15,10,0.166666666666667,0.064133825867798
M,12,0.01,0.12,0.15,10,0.166666666666667,0.156980015092716
M,12,0.01,0.12,0.15,7,0.166666666666667,0.241269583882932
M,12,0.01,0.12,0.15,12,0,0.019502003213933
M,12,0.01,0.12,0.15,9,0.25,0.055348812404999
M,12,0.01,0.12,0.15,12,0,0.060577301753389
M,12,0.01,0.12,0.15,12,0,0.03490093394349
M,12,0.01,0.12,0.15,11,0.0833333333333333,0.06681244735928
M,15,0.01,0.12,0.15,15,0,0.029987558592131
M,15,0.01,0.12,0.15,15,0,0.052916029856181
M,15,0.01,0.12,0.15,15,0,0.050777887840485
M,15,0.01,0.12,0.15,9,0.0666666666666667,0.21618218029439
M,15,0.01,0.12,0.15,11,0.133333333333333,0.290546618377379
M,15,0.01,0.12,0.15,15,0,0.018915297553485
M,15,0.01,0.12,0.15,15,0,0.03897779649084
M,15,0.01,0.12,0.15,15,0,0.042042209474222
M,15,0.01,0.12,0.15,15,0,0.060457503180025
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.094606632114178
M,15,0.01,0.12,0.15,15,0,0.051478583965662
